dataset_name,algorithm,use_asymmetric_transformation,efSearch,recall,queries_per_sec
yi-128-ip,roargraph,TRUE,20,12.4%,8034.9
yi-128-ip,roargraph,TRUE,30,16.5%,5964.5
yi-128-ip,roargraph,TRUE,40,19.9%,4932.0
yi-128-ip,roargraph,TRUE,50,22.6%,4209.2
yi-128-ip,roargraph,TRUE,60,24.9%,3701.8
yi-128-ip,roargraph,TRUE,80,29.0%,2973.8
yi-128-ip,roargraph,TRUE,100,31.8%,2470.3
yi-128-ip,roargraph,TRUE,150,37.6%,1830.2
yi-128-ip,roargraph,TRUE,200,42.0%,1479.7
yi-128-ip,roargraph,TRUE,300,47.9%,1050.8
yi-128-ip,roargraph,TRUE,400,52.9%,817.1
yi-128-ip,roargraph,TRUE,500,55.5%,678.1
yi-128-ip,roargraph,TRUE,600,57.8%,572.5
yi-128-ip,roargraph,TRUE,800,62.0%,436.1
yi-128-ip,roargraph,TRUE,1000,64.5%,348.9
llama-128-ip,roargraph,TRUE,10,15.2%,12824.7
llama-128-ip,roargraph,TRUE,20,24.1%,6549.7
llama-128-ip,roargraph,TRUE,30,29.4%,5732.9
llama-128-ip,roargraph,TRUE,40,33.6%,4656.7
llama-128-ip,roargraph,TRUE,50,37.0%,3927.3
llama-128-ip,roargraph,TRUE,60,40.1%,3405.8
llama-128-ip,roargraph,TRUE,80,44.2%,2713.3
llama-128-ip,roargraph,TRUE,100,47.6%,2264.3
llama-128-ip,roargraph,TRUE,150,53.3%,1575.3
llama-128-ip,roargraph,TRUE,200,57.6%,1226.3
llama-128-ip,roargraph,TRUE,300,62.9%,852.4
llama-128-ip,roargraph,TRUE,400,66.2%,653.8
llama-128-ip,roargraph,TRUE,500,68.7%,524.1
llama-128-ip,roargraph,TRUE,600,70.3%,441.9
llama-128-ip,roargraph,TRUE,800,72.7%,333.2
llama-128-ip,roargraph,TRUE,1000,74.4%,264.9
